locus_tag	ftype	length_bp	gene	EC_number	COG	product
KAGFDIAF_00001	CDS	495	napF		COG1145	Ferredoxin-type protein NapF
KAGFDIAF_00002	CDS	264	napD		COG3062	Chaperone NapD
KAGFDIAF_00003	CDS	2487	napA	1.9.6.1	COG0243	Periplasmic nitrate reductase
KAGFDIAF_00004	CDS	696	napG		COG1145	Ferredoxin-type protein NapG
KAGFDIAF_00005	CDS	864	napH		COG0348	Ferredoxin-type protein NapH
KAGFDIAF_00006	CDS	450	napB		COG3043	Periplasmic nitrate reductase, electron transfer subunit
KAGFDIAF_00007	CDS	603	napC		COG3005	Cytochrome c-type protein NapC
KAGFDIAF_00008	CDS	618	ccmA	7.6.2.5	COG4133	Cytochrome c biogenesis ATP-binding export protein CcmA
KAGFDIAF_00009	CDS	663	ccmB		COG2386	Heme exporter protein B
KAGFDIAF_00010	CDS	738	ccmC		COG0755	Heme exporter protein C
KAGFDIAF_00011	CDS	210	ccmD		COG3114	Heme exporter protein D
KAGFDIAF_00012	CDS	480	ccmE		COG2332	Cytochrome c-type biogenesis protein CcmE
KAGFDIAF_00013	CDS	1944	ccmF_1		COG1138	Cytochrome c-type biogenesis protein CcmF
KAGFDIAF_00014	CDS	558	dsbE		COG0526	Thiol:disulfide interchange protein DsbE
KAGFDIAF_00015	CDS	1053	ccmH_1		COG3088	Cytochrome c-type biogenesis protein CcmH
KAGFDIAF_00016	CDS	648	narL_1		COG2197	Nitrate/nitrite response regulator protein NarL
KAGFDIAF_00017	CDS	2592				putative autotransporter
KAGFDIAF_00018	tRNA	77				tRNA-Pro(ggg)
KAGFDIAF_00019	CDS	1761	yejM		COG3083	Inner membrane protein YejM
KAGFDIAF_00020	CDS	228				hypothetical protein
KAGFDIAF_00021	CDS	576	yejK_1		COG3081	Nucleoid-associated protein YejK
KAGFDIAF_00022	CDS	405	yejK_2		COG3081	Nucleoid-associated protein YejK
KAGFDIAF_00023	CDS	285	rplY		COG1825	50S ribosomal protein L25
KAGFDIAF_00024	CDS	1761	radD	3.6.4.12	COG1061	Putative DNA repair helicase RadD
KAGFDIAF_00025	CDS	696	rsuA	5.4.99.19	COG1187	Ribosomal small subunit pseudouridine synthase A
KAGFDIAF_00026	CDS	1191	bcr			Bicyclomycin resistance protein
KAGFDIAF_00027	CDS	345	yejG			putative protein YejG
KAGFDIAF_00028	CDS	1590	yejF		COG4172	putative ABC transporter ATP-binding protein YejF
KAGFDIAF_00029	CDS	1026	yejE		COG4239	Inner membrane ABC transporter permease protein YejE
KAGFDIAF_00030	CDS	1095	yejB		COG4174	Inner membrane ABC transporter permease protein YejB
KAGFDIAF_00031	CDS	1815				hypothetical protein
KAGFDIAF_00032	CDS	1557	pdeN	3.1.4.52	COG2200	putative cyclic di-GMP phosphodiesterase PdeN
KAGFDIAF_00033	CDS	567	mepS_1	3.4.-.-	COG0791	Murein DD-endopeptidase MepS/Murein LD-carboxypeptidase
KAGFDIAF_00034	CDS	714	lpxT	2.7.4.29	COG0671	Lipid A 1-diphosphate synthase
KAGFDIAF_00035	CDS	987	yeiR	3.6.-.-	COG0523	Zinc-binding GTPase YeiR
KAGFDIAF_00036	CDS	1467	mtlK	1.1.1.67	COG0246	Mannitol 2-dehydrogenase
KAGFDIAF_00037	CDS	573	yeiP		COG0231	Elongation factor P-like protein
KAGFDIAF_00038	CDS	255				hypothetical protein
KAGFDIAF_00039	CDS	1182	setB			Sugar efflux transporter B
KAGFDIAF_00040	CDS	1131	fruB		COG1925	Multiphosphoryl transfer protein
KAGFDIAF_00041	CDS	939	lacC	2.7.1.144		Tagatose-6-phosphate kinase
KAGFDIAF_00042	CDS	1692	fruA_1		COG1299	PTS system fructose-specific EIIB'BC component
KAGFDIAF_00043	CDS	942	psuK_1	2.7.1.83	COG0524	Pseudouridine kinase
KAGFDIAF_00044	CDS	939	psuG	4.2.1.70	COG2313	Pseudouridine-5'-phosphate glycosidase
KAGFDIAF_00045	CDS	1251	psuT		COG1972	Putative pseudouridine transporter
KAGFDIAF_00046	CDS	699	yeiL		COG0664	Regulatory protein YeiL
KAGFDIAF_00047	CDS	942	rihB	3.2.2.8	COG1957	Pyrimidine-specific ribonucleoside hydrolase RihB
KAGFDIAF_00048	CDS	1251	nupX		COG1972	Putative nucleoside permease NupX
KAGFDIAF_00049	CDS	1089	psuK_2	2.7.1.83	COG0524	Pseudouridine kinase
KAGFDIAF_00050	CDS	858	nfo	3.1.21.2	COG0648	Endonuclease 4
KAGFDIAF_00051	CDS	1050				hypothetical protein
KAGFDIAF_00052	CDS	882	cysL		COG0583	HTH-type transcriptional regulator CysL
KAGFDIAF_00053	CDS	1470	lysP		COG0833	Lysine-specific permease
KAGFDIAF_00054	CDS	1992	cirA		COG4771	Colicin I receptor
KAGFDIAF_00055	CDS	705	yeiG	3.1.2.12	COG0627	S-formylglutathione hydrolase YeiG
KAGFDIAF_00056	CDS	1089	ompF		COG3203	Outer membrane porin F
KAGFDIAF_00057	CDS	1191	aspC	2.6.1.1	COG1448	Aspartate aminotransferase
KAGFDIAF_00058	CDS	648	gloC	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase GloC
KAGFDIAF_00059	CDS	549				hypothetical protein
KAGFDIAF_00060	CDS	1848	ycbB	2.-.-.-	COG2989	putative L,D-transpeptidase YcbB
KAGFDIAF_00061	CDS	4461	mukB		COG3096	Chromosome partition protein MukB
KAGFDIAF_00062	CDS	705	mukE		COG3095	Chromosome partition protein MukE
KAGFDIAF_00063	CDS	1323	mukF		COG3006	Chromosome partition protein MukF
KAGFDIAF_00064	CDS	786	cmoM	2.1.1.-	COG0500	tRNA 5-carboxymethoxyuridine methyltransferase
KAGFDIAF_00065	CDS	780				hypothetical protein
KAGFDIAF_00066	CDS	894				hypothetical protein
KAGFDIAF_00067	CDS	747	kdsB	2.7.7.38	COG1212	3-deoxy-manno-octulosonate cytidylyltransferase
KAGFDIAF_00068	CDS	183				hypothetical protein
KAGFDIAF_00069	CDS	1233				hypothetical protein
KAGFDIAF_00070	CDS	987	lpxK	2.7.1.130	COG1663	Tetraacyldisaccharide 4'-kinase
KAGFDIAF_00071	CDS	1749	msbA_1	7.5.2.6	COG1132	Lipid A export ATP-binding/permease protein MsbA
KAGFDIAF_00072	CDS	2265				hypothetical protein
KAGFDIAF_00073	CDS	285	ihfB		COG0776	Integration host factor subunit beta
KAGFDIAF_00074	CDS	1674	rpsA		COG0539	30S ribosomal protein S1
KAGFDIAF_00075	CDS	684	cmk	2.7.4.25	COG0283	Cytidylate kinase
KAGFDIAF_00076	CDS	765	ycaL	3.4.-.-	COG0501	Metalloprotease YcaL
KAGFDIAF_00077	CDS	1284	aroA	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase
KAGFDIAF_00078	CDS	1089	serC	2.6.1.52	COG1932	Phosphoserine aminotransferase
KAGFDIAF_00079	CDS	693				hypothetical protein
KAGFDIAF_00080	CDS	1761	ycaO		COG1944	Ribosomal protein S12 methylthiotransferase accessory factor YcaO
KAGFDIAF_00081	CDS	858	focA		COG2116	putative formate transporter 1
KAGFDIAF_00082	CDS	2283	pflB	2.3.1.54	COG1882	Formate acetyltransferase 1
KAGFDIAF_00083	CDS	468	pflA_1	1.97.1.4	COG1180	Pyruvate formate-lyase 1-activating enzyme
KAGFDIAF_00084	CDS	258	pflA_2	1.97.1.4	COG1180	Pyruvate formate-lyase 1-activating enzyme
KAGFDIAF_00085	CDS	591	azoR_1	1.7.1.17		FMN-dependent NADH-azoreductase
